WARD,Population
42001003,8387
42001004,6599
42001005,7050
42001006,2963
42001007,7828
42001008,5058
42001009,7904
42001010,5407
42001011,4654
42001012,4470
42001013,8073
42001014,4382
42001015,5845
42001016,6875
42001017,5274
42001018,7349
42001019,6815
42001020,7683
42001021,6697
42001022,7424
42001023,4132
42001024,6220
42001025,7470
42003001,7909
42003002,5570
42003003,5520
42003004,3474
42003005,4672
42003006,2210
42003007,9797
42003008,12183
42003009,5676
42003010,5461
42003011,4228
42003012,5458
42003013,5439
42003014,6147
42003015,4523
42003016,8770
42003017,7138
42003018,4899
42003019,6729
42003020,4716
42004001,16214
42004002,4486
42004003,5938
42004004,5429
42004005,6701
42004006,4928
42004007,4012
42004008,7347
42004009,4953
42004010,7079
42004011,5109
42004012,4073
42004013,12514
42004014,10682
42004015,3341
42004016,6693
42004017,7835
42004018,3008
42004019,12674
42004020,11733
42004021,4357
42005001,4145
42005002,9607
42005003,5913
42005004,6213
42005005,5382
42005006,5266
42005007,6679
42005008,7370
42005009,7300
49400001,12448
49400002,13204
49400003,12084
49400004,12259
49400005,14635
49400006,16963
49400007,8010
49400008,16849
49400009,12895
49400010,17293
49400011,14912
49400012,22409
49400013,9329
49400014,14938
49400015,14720
49400016,14317
49400017,16454
49400018,24178
49400019,13737
49400020,13102
49400021,10426
49400022,13213
49400023,10461
49400024,10806
49400025,13283
49400026,10608
49400027,21669
49400028,15312
49400029,13864
49400030,15311
49400031,11731
49400032,13080
49400033,13801
49400034,18605
49400035,17709
49400036,13607
49400037,18832
49400038,11913
49400039,12992
49400040,12277
49400041,12088
49400042,12230
49400043,14522
49400044,18903
49400045,35119
49400046,39055
49400047,14939
49400048,11437
49400049,14898
52101001,7185
52101002,7322
52101003,6229
52101004,8044
52101005,10626
52101006,9370
52101007,6153
52101008,6853
52101009,8639
52101010,6981
52102001,7455
52102002,9905
52102003,9298
52102004,6863
52102005,6556
52102006,6078
52102007,8765
52102008,9211
52102009,6731
52102010,8013
52103001,7681
52103002,8818
52103003,9090
52103004,9561
52103005,9517
52103006,5923
52103007,6113
52103008,8311
52103009,6303
52103010,11240
52103011,8595
52103012,6589
52103013,6730
52103014,7740
52103015,8997
52103016,9277
52103017,7699
52103018,13056
52103019,9735
52104001,9751
52104002,10478
52104003,9544
52104004,8235
52104005,9738
52104006,7651
52104007,10688
52104008,9789
52104009,10205
52104010,10479
52105001,7387
52105002,7299
52105003,10228
52105004,9428
52105005,10530
52105006,7667
52106001,7459
52106002,8838
52106003,8531
52106004,8534
52106005,9348
52106006,9115
52106007,8551
52106008,7982
52106009,12015
52106010,10636
52106011,8798
52106012,9904
52106013,5713
52106014,8026
52106015,5805
52106016,7519
52106017,8356
52106018,8004
52106019,5804
52106020,14855
52106021,7126
52106022,8436
52106023,6523
52106024,9789
52106025,9377
52106026,12821
52106027,11089
52106028,6938
52106029,10243
52201001,12507
52201002,5935
52201003,10186
52201004,9225
52201005,11157
52201006,7560
52201007,5578
52201008,6857
52201009,10010
52201010,6635
52201011,7392
52201012,8027
52201013,5304
52202001,7661
52202002,1266
52202003,6411
52202004,9302
52202005,7051
52202006,7345
52202007,7664
52202008,13507
52202009,9572
52202010,5307
52202011,7320
52202012,10302
52203001,11414
52203002,8464
52203003,6917
52203004,11309
52204001,8683
52204002,9546
52204003,8069
52204004,6806
52205001,18770
52205002,18433
52205003,15575
52205004,14223
52205005,15840
52205006,17282
52205007,18050
52205008,15290
52205009,14538
52205010,14152
52205011,19945
52205012,11775
52205013,21953
52205014,15317
52205015,18542
52205016,21232
52205017,21531
52205018,20708
52205019,16445
52205020,13667
52205021,9972
52205022,14666
52205023,14384
52205024,16181
52205025,15461
52205026,17786
52205027,13037
52205028,20581
52205029,18982
52205030,20087
52205031,12095
52205032,15973
52205033,12908
52205034,21408
52205035,16842
52205036,19480
52205037,15423
52206001,11462
52206002,10211
52206003,7591
52206004,9196
52206005,8462
52206006,8911
52206007,7309
52207001,6836
52207002,10285
52207003,14612
52207004,3823
52207005,8867
52207006,10585
52207007,10785
52302001,8569
52302002,7377
52302003,10557
52302004,5636
52302005,8874
52302006,9547
52302007,8704
52302008,6688
52302009,10415
52302010,6648
52302011,7597
52302012,6495
52302013,12586
52302014,12098
52302015,7960
52302016,7301
52302017,7932
52302018,8227
52302019,7708
52302020,11079
52302021,8538
52302022,10384
52302023,7655
52302024,8396
52302025,9602
52302026,6390
52302027,14473
52303001,10257
52303002,11468
52303003,9909
52303004,11120
52303005,8966
52303006,9687
52303007,10393
52303008,11157
52303009,10967
52303010,9193
52304001,9507
52304002,8371
52304003,10074
52304004,8224
52304005,9662
52304006,7539
52304007,9549
52304008,11337
52304009,8891
52305001,9295
52305002,11065
52305003,9113
52305004,9262
52305005,8556
52305006,9223
52305007,8720
52305008,8918
52305009,8711
52305010,9327
52305011,10885
52305012,10114
52305013,9316
52305014,9564
52306001,8442
52306002,7637
52306003,7397
52306004,9232
52306005,7060
52306006,8581
52306007,7240
52306008,9424
52306009,10334
52306010,11907
52306011,8785
52306012,7011
52306013,10023
52401001,6950
52401002,13130
52401003,15093
52401004,8390
52401005,9825
52401006,11474
52402001,13243
52402002,9438
52402003,11165
52402004,8720
52402005,9492
52402006,7376
52402007,8818
52402008,8762
52402009,9523
52402010,10800
52402011,12042
52402012,8313
52402013,9694
52402014,10180
52402015,11065
52402016,8060
52402017,8614
52404001,9943
52404002,9301
52404003,10139
52404004,10128
52404005,13515
52404006,10155
52404007,7693
52404008,7216
52404009,9292
52404010,8838
52404011,9118
52404012,8432
52404013,7882
52404014,10567
52404015,8096
52404016,8968
52404017,10616
52404018,7766
52404019,9912
52405001,10608
52405002,9887
52405003,9596
52405004,8081
52405005,9645
52405006,8796
52405007,11314
52405008,11910
52405009,4875
52405010,8673
52405011,9708
52502001,15843
52502002,10354
52502003,8182
52502004,9193
52502005,9958
52502006,22042
52502007,16686
52502008,9124
52502009,14513
52502010,10641
52502011,10444
52502012,9420
52502013,8542
52502014,14381
52502015,11236
52502016,14795
52502017,11179
52502018,12835
52502019,10018
52502020,14684
52502021,13865
52502022,8777
52502023,9794
52502024,12717
52502025,13469
52502026,7181
52502027,11031
52502028,7398
52502029,11065
52502030,12491
52502031,11379
52503001,10908
52503002,5290
52503003,9443
52503004,8801
52504001,9749
52504002,8095
52504003,9101
52504004,9213
52504005,7424
52504006,9538
52504007,8094
52504008,9446
52504009,9787
52504010,11484
52504011,10232
52601001,12711
52601002,14142
52601003,10953
52601004,10113
52601005,8526
52601006,8135
52601007,8607
52601008,8866
52602001,11503
52602002,8662
52602003,8064
52602004,10736
52602005,8320
52602006,7716
52602007,7301
52602008,7862
52602009,11983
52602010,10880
52602011,10890
52602012,9374
52602013,5159
52602014,8786
52603001,10006
52603002,8522
52603003,11176
52603004,6977
52603005,10760
52603006,10335
52603007,10947
52603008,4831
52603009,6353
52603010,2707
52603011,11360
52603012,12709
52603013,14255
52603014,8604
52603015,8107
52603016,9417
52603017,11884
52603018,8087
52603019,7440
52603020,11121
